Mata Pelajaran,Kelas,Nomor Soal,Soal,Soal_5W1H,Jawaban
Pkn,10,16,"Setiap orang diberikan kebebasan untuk berserikat dan berkumpul dalam organisasi sosial, organisasi politik, dan mengeluarkan atau menyatakan pendapat merupakan makna dari pasal","Pada UUD 1945, pasal berapakah yang mengatur bahwa setiap orang diberikan kebebasan untuk berserikat dan berkumpul dalam organisasi sosial, organisasi politik, dan mengeluarkan atau menyatakan pendapat?",28
Pkn,10,22,"Pancasila sebagai sumber dar berbagai sumber hukum yang telah melahirkan hukum lain, yaitu","Pancasila sebagai sumber dari berbagai sumber hukum, hukum apakah yang dilahirkan oleh Pancasila?",Undang-Undang Dasar
Pkn,10,25,Amandemen UUD 1945 yang kedua dilakukan pada tahun,Kapan amandedemen UUD 1945 kedua dilakukan?,2000
Pkn,10,29,Demokrasi liberal di Indonesia berlangsung pada tahun,Kapan demokrasi liberal di Indonesia berlangsung?,1950 – 1959
Pkn,11,I - 2,"Sebagai sponsor bagi berbagai perundingan perdamaian antarnegara yang sedang dilanda konflik, yaitu peranan organisasi",Organisasi apakah yang berperan sebagai sponsor bagi perundingan perdamaian antarnegera yang terlibat dalam konflik?,PBB
Pkn,11,I - 3,Pemrakarsa berdirinya ASEAN dari negara Filipina adalah,Siapa pemrakarsa berdirinya ASEAN dari negara Filipina?,Narsico Ramos
Pkn,11,I - 15,Hukum internasional yang mengatur negara yang satu dengan lainnya dalam hubungan internasional disebut,Hukum internasional apakah yang mengatur hubungan internasional antar negara?,hukum perdata internasional
Pkn,12,2,Pengadilan yang sehari-hari memeriksa dan memutuskan perkara dalam tingkat pertama dari segala perkara perdata dan pidana untuk semua golongan penduduk  adalah,Apa nama pengadilan yang memeriksa dan memutuskan perkara dalam tingkat pertama dari segala perkara perdata dan pidana untuk semua golongan penduduk?,Pengadilan Negeri
Pkn,12,33,"Menurut Undang-Undang Pers nomor 40 tahun 1999 pasal 15, dalam rangka pengembangan kemerdekaan pers dan meningkatkan kehidupan pers nasional dibentuk sebuah lembaga","Dalam rangka pengembangan kemerdekaan pers dan meningkatkan kehidupan pers nasional,  lembaga apakah yang dibentuk menurut UU Pers pasal 15 nomor 40 tahun 1995?",Dewan pers yg independen
Sejarah,10,I - 6,Masyarakat Hindu melihat waktu sebagai,Bagaimana masyarakat Hindu melihat waktu?,siklus tanpa akhir
Sejarah,10,I - 23,"Sejarah berasal dari bahasa Arab, yaitu syajarotun yang berarti","Kata sejarah berasal dari bahasa Arab yaitu syajarotun, apa arti dari kata syajorotun?",Pohon/kayu
Sejarah,10,II - 2,Tempat ibadah umat Buddha,Dimanakah tempat ibadah umat Buddha?,Wihara
Sejarah,10,II - 8,Inti ajaran Buddha di mana manusia pada dasarnya tidak bahagia disebut,Apa inti dari ajaran agama Buddha dimana manusia pada dasarnya tidak bahagia?,Dukkha
Sejarah,10,II - 10,Tempat ibadah umat Hindu di,Dimanakah tempat ibadah umat Hindu?,Pura
Sejarah,11,4,Maklumat Pemerintah tanggal 5 Oktober 1945 berisikan pembentukan organisasi ketentaraan yang bernama,Apa organisasi ketentaraan yang dibentuk dari maklumat pemerintah pada tanggal 5 Oktober 1945?,Tentara Keamanan Rakyat
Sejarah,11,8,"Insiden Bendera di Surabaya tanggal 19 September 1945 terjadi sebagai akibat dari tindakan Belanda, yaitu",Apa tindakan Belanda yang menyebabkan Insiden Bendera pada tanggal 19 September 1945?,mengibarkan bendera merah putih biru di puncak Hotel Yamato
Sejarah,11,14,Dekrit Presiden 5 Juli 1959 dikeluarkan dalam rangka,Apa alasan dikeluarkannya Dekrit Presiden 5 Juli 1959?,mengatasi kondisi politik pemerintahan yang semakin tidak menentu
Sejarah,11,23,Munculnya Orde Baru ditandai dengan,Apa tanda munculnya order baru?,keluarnya Surat Perintah 11 Maret 1966
Sejarah,12,9,Sumber Kerajaan Tarumanegara yang lokasi penemuannya terletak di wilayah Provinsi Banten adalah,Apa sumber dari Kerajaan Tarumanegara yang lokasi penemuannya terletak di wilayah Provinsi Banten?,Munjul
Seni Budaya,10,12,Musik dangdut merupakan perkembangan dari musik tradisional,Musik tradisional apakah yang menjadi sumber perkembangan musik dangdut?,Melayu
Seni Budaya,10,13,Musik arumba merupakan perkembangan dari musik,Musik apakah yang menjadi sumber perkembangan musik arumba?,angklung
Seni Budaya,10,16,Tari kebyar diciptakan oleh,Siapakah yang menciptakan Tari Kebyar?,I Mario
Seni Budaya,10,26,Alat yang digunakan untuk membuat proses pembatikan dinamakan,Apa nama alat yang digunakan dalam proses pembatikan?,canting
Seni Budaya,11,5,Bahan utama untuk membuat vas bunga adalah,Apa bahan utama untuk membuat vas bunga?,tanah liat
Seni Budaya,11,29,"Teater rakyat yang berasal dari Jawa Tengah yang diambil dari cerita tentang kerajaan, cerita sejarah atau cerita-cerita rakyat Jawa Tengah dinamakan","Apa nama teater rakyat yang berasal dari Jawa Tengah yang diambil dari cerita tentang kerajaan, cerita sejarah atau cerita-cerita rakyat?",ketoprak
Seni Budaya,11,36,Seni rupa pengaruh Islam di India telah mencapai puncaknya pada pemerintahan,Pada pemerintahan siapakah dimana seni rupa pengaruh Islam di India mencapai puncaknya?,Raja Syah Jehan
Seni Budaya,12,I - 21,Jenis benda yang termasuk ke dalam karya tiga dimensi adalah,Apa jenis benda yang termasuk dalam karya tiga dimensi?,Patung
Seni Budaya,12,I - 24,Membuat karya seni rupa terapan dengan menggunakan bahan tali-temali yang dibuat simpul adalah,Apa istilah untuk pembuatan karya seni rupa terapan yang menggunakan bahan tali temali yang dibuat menjadi simpul?,makrame
Seni Budaya,12,I - 32,Permainan musik accordion di Prancis berfungsi sebagai,Apa fungsi dari permainan musik accordion di Perancis?,pengiring dansa
TIK,10,6,Peralatan keras yang berfungsi untuk menjalankan instruksi-instruksi yang diberikan dan mengeluarkannya dalam bentuk informasi disebut,Apa istilah dari peralatan keras yang berfungsi untuk menjalankan instruksi-instruksi yang diberikan dan mengeluarkannya dalam bentuk informasi?,hardware
TIK,10,8,Alat yang digunakan untuk memindahkan gambar dari kertas ke komputer disebut,Apa nama alat atau perangkat yang digunakan untuk memindahkan gambar dari kertas ke komputer disebut?,scanner
TIK,10,17,LAN adalah kepanjangan dari,Apa kepanjangan dari LAN?,Local area network
TIK,10,27,Undang-undang di Indonesia yang memuat tentang HAKI adalah,Undang undang apakah yang memuat tentang HAKI?,UU nomor 19 tahun 2002
TIK,10,34,Jenis topologi jaringan yang menyerupai bentuk cincin disebut,Apa nama dari topologi jaringan yang bentuknya menyerupai cincin?,Topologi ring
TIK,10,35,System bilangan basis 2 disebut dengan,Apa istilah atau nama lain dari sistem bilangan basis 2?,biner
TIK,11,4,Hypertext transfer protokol disingkat menjadi,Apa singkatan dari hypertext transfer protokol?,HTTP
TIK,11,12,DNS adalah kepanjangan dari,Apa kepanjangan dari DNS?,Domain Name System
TIK,11,20, Kepanjangan dari WWW adalah,Apa kepanjangan dari WWW?,World Wide Web
TIK,12,33,Seseorang yang ahli dalam bidang desain disebut,Apa istilah bagi seseorang yang ahli dalam bidang desain?,desainer
